ID,farmer_name,training_day,gender,registration,age,group_name,belong_to_cooperative,county,subcounty,ward,adopted_within_07_days,adopted_within_90_days,adopted_within_120_days,has_topic_trained_on,trainer,topics_list
ID_Q2S4A1,FAR_ezoielz,2024-01-03,Female,Ussd,Above 35,GRP_ojbbaqi,1,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,['TRA_rkvyofbh'],"[['Benfits Of Sistema Biogas', 'Biosecurity In Poultry Farming', 'Calf Feeding', 'Feeding A Lactating Cow', 'How To Manage Pest And Diseases At Harvesting Stage.', 'How To Rear A Calf With Unga Products', 'Livestock Management Practices..', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feeding', 'Poultry Housing'], ['Poultry Housing']]"
ID_92V95D,FAR_iycxajc,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,['TRA_rkvyofbh'],"[['Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy'], ['Poultry Products'], ['Record Keeping In Dairy'], ['Poultry Housing']]"
ID_MIXWHX,FAR_xcffbyx,2024-01-03,Female,Ussd,Above 35,GRP_yvpakgc,0,CNT_lpotuu,SUB_lpotuuf,WRD_lpotuufh,0,0,0,0,['TRA_szrwyfzz'],"[['Ndume App', 'Poultry Feeding']]"
ID_A4AFS6,FAR_hopvqbq,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,['TRA_rkvyofbh'],"[['Poultry Housing', 'Poultry Products', 'Record Keeping In Dairy'], ['Poultry Products'], ['Record Keeping In Dairy'], ['Poultry Housing']]"
ID_C8HU8B,FAR_zhwsoje,2024-01-03,Female,Manual,Above 35,GRP_psdrfni,0,CNT_fhdsoy,SUB_mdyljqn,WRD_atkhhvon,0,0,0,1,['TRA_rkvyofbh'],"[['Poultry Products'], ['Record Keeping In Dairy'], ['Poultry Housing']]"
ID_WTZFXS,FAR_umjluui,2024-01-04,Male,Ussd,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],[['Microp+ Planting']]
ID_Z5A6GU,FAR_vyzabvh,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices']]"
ID_BUHN2X,FAR_gkxhthl,2024-01-04,Male,Ussd,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Yara Maziwa Pro'], ['Poultry Management Practices']]"
ID_RXUYUX,FAR_qezmvmh,2024-01-04,Male,Ussd,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_DZTSW3,FAR_ssxcmgu,2024-01-04,Female,Ussd,Above 35,GRP_nbhirzh,0,CNT_lpotuu,SUB_ywivmgg,WRD_yyqhdtxn,0,0,0,0,['TRA_szrwyfzz'],"[['How To Succeed In Breeding', 'Microp+ Planting', 'Poultry Management Practices', 'Yara Maziwa Pro']]"
ID_1RHZNJ,FAR_rnbxtye,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_KBGHRK,FAR_pmisuak,2024-01-04,Female,Ussd,Above 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_CJYMDH,FAR_ypyeaxi,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_A0K1EQ,FAR_ljwgkut,2024-01-04,Female,Manual,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,['TRA_suiifsur'],[['Poultry Feeding']]
ID_7B1E9H,FAR_snfgwuq,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_M4CTLT,FAR_mzwljgu,2024-01-04,Female,Manual,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_F755T4,FAR_azwzspc,2024-01-04,Female,Ussd,Above 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_ECX9L8,FAR_ljpbjux,2024-01-04,Female,Ussd,Above 35,GRP_kgvhdde,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_XF0VWH,FAR_zehvuic,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_3BHKDZ,FAR_vwkjxoz,2024-01-04,Male,Ussd,Above 35,GRP_vngvqfl,0,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],[['Dairy Housing']]
ID_TR2K4G,FAR_dkxdeqk,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_X6HQ3Q,FAR_iaftttf,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,['TRA_suiifsur'],"[['Poultry Feeding'], ['How To Succeed In Breeding'], ['Herd Health'], ['Poultry Management Practices']]"
ID_K6TULV,FAR_jcpmolu,2024-01-04,Male,Ussd,Above 35,GRP_elmarzi,1,CNT_mggvna,SUB_sxusspx,WRD_faucaydw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_TR4FUW,FAR_uxeoifd,2024-01-04,Male,Manual,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro'], ['Microp+ Planting']]"
ID_UBCM2Y,FAR_cgewoqc,2024-01-04,Female,Ussd,Above 35,GRP_kgvhdde,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_52KADA,FAR_yaqjlkf,2024-01-04,Male,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_RB7XJK,FAR_eqoyhjf,2024-01-04,Male,Manual,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro'], ['Microp+ Planting']]"
ID_FGIJIQ,FAR_eugltlq,2024-01-04,Male,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_BUWVB2,FAR_ivcijwv,2024-01-04,Female,Manual,Above 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_MJP5IF,FAR_ohdnzyc,2024-01-04,Female,Manual,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_ZU5KPR,FAR_vyihklw,2024-01-04,Male,Ussd,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_6SJ3IC,FAR_nkqghul,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_8SYO13,FAR_udijfvm,2024-01-04,Female,Ussd,Above 35,GRP_kgvhdde,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_NJXXB4,FAR_rqidovm,2024-01-04,Male,Manual,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Yara Maziwa Pro'], ['Microp+ Planting']]"
ID_73L0JQ,FAR_ufbjxxs,2024-01-04,Male,Ussd,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding'], ['Yara Maziwa Pro']]"
ID_EP77UJ,FAR_vsdufcw,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_DUM8FK,FAR_suqzzef,2024-01-04,Female,Ussd,Above 35,GRP_vdnijzg,0,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_NNJTE7,FAR_otfwahn,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_0TY6JG,FAR_rdjpjsq,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_3V5CI3,FAR_xmrpljm,2024-01-04,Male,Ussd,Below 35,GRP_nbhirzh,0,CNT_lpotuu,SUB_ywivmgg,WRD_yyqhdtxn,0,0,0,0,['TRA_szrwyfzz'],"[['How To Succeed In Breeding', 'Microp+ Planting', 'Poultry Management Practices', 'Yara Maziwa Pro']]"
ID_HE8DKG,FAR_rntckvc,2024-01-04,Female,Manual,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,['TRA_suiifsur'],[['Poultry Feeding']]
ID_TD5QJO,FAR_ossvzpx,2024-01-04,Female,Ussd,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_JN2DMN,FAR_xjlvlxe,2024-01-04,Male,Ussd,Above 35,GRP_nbhirzh,0,CNT_lpotuu,SUB_ywivmgg,WRD_yyqhdtxn,0,0,0,0,['TRA_szrwyfzz'],"[['How To Succeed In Breeding', 'Microp+ Planting', 'Poultry Management Practices', 'Yara Maziwa Pro']]"
ID_SQNGNO,FAR_behaifh,2024-01-04,Male,Ussd,Above 35,GRP_qkosapd,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_T03MWB,FAR_hpdbqcd,2024-01-04,Female,Manual,Below 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Record Keeping In Dairy']]"
ID_92U5G0,FAR_jausktm,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],[['Poultry Housing']]
ID_VTC464,FAR_ztsmplg,2024-01-04,Male,Ussd,Above 35,GRP_olpoyvt,0,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_TIX0IB,FAR_ocdvbek,2024-01-04,Male,Manual,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Yara Maziwa Pro'], ['Microp+ Planting'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_FU3HJJ,FAR_fxxdoqo,2024-01-04,Male,Manual,Below 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Record Keeping In Dairy']]"
ID_3YS0VB,FAR_wmddusq,2024-01-04,Male,Ussd,Above 35,GRP_kgvhdde,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],[['Poultry Feeding']]
ID_3RE8TI,FAR_ylemabq,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices']]"
ID_HVYYKJ,FAR_fjmllvs,2024-01-04,Female,Ussd,Above 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,['TRA_suiifsur'],"[['Poultry Feeding'], ['How To Succeed In Breeding'], ['Herd Health'], ['Poultry Management Practices']]"
ID_CLRQ0R,FAR_lzrnlrk,2024-01-04,Female,Ussd,Below 35,GRP_wtalymr,0,CNT_yljqnl,SUB_jchavji,WRD_ewbkpzpx,0,0,0,1,['TRA_suiifsur'],"[['Poultry Feeding'], ['How To Succeed In Breeding']]"
ID_HE9SIX,FAR_cwqfnab,2024-01-04,Female,Manual,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro'], ['Microp+ Planting']]"
ID_4B50ZH,FAR_zpgselo,2024-01-04,Male,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_FAKEVS,FAR_vzcsieh,2024-01-04,Male,Ussd,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_VEWD6D,FAR_fmhklzt,2024-01-04,Female,Manual,Above 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Milking Hygiene', 'Personal Protective Equipment (Ppe)', 'Poultry Diseases And Biosecurity', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_K2P5FC,FAR_erpvudp,2024-01-04,Female,Manual,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Biosecurity In Poultry Farming', 'Calf Feeding', 'Dairy Feed Management', 'Dairy Housing', 'Feeding A Lactating Cow', 'Poultry Feed And Water Management', 'Poultry Housing', 'Record Keeping In Dairy', 'Record Keeping In Poultry']]"
ID_12B15Y,FAR_ejyvnej,2024-01-04,Male,Manual,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_CWGBZU,FAR_qmudtgd,2024-01-04,Male,Manual,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro']]"
ID_PE3827,FAR_qgchdtc,2024-01-04,Male,Manual,Above 35,GRP_vdnijzg,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],[['Poultry Housing']]
ID_U37UQ2,FAR_oxqedwd,2024-01-04,Female,Manual,Above 35,GRP_olpoyvt,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_A0TD4G,FAR_ywgksue,2024-01-04,Male,Manual,Above 35,GRP_hnpamif,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Microp+ Planting'], ['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro']]"
ID_H1Q2G3,FAR_ggcjitj,2024-01-04,Male,Ussd,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_A9NEAI,FAR_mrghfba,2024-01-04,Female,Ussd,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],[['Microp+ Planting']]
ID_3NRPAT,FAR_qoqncqo,2024-01-04,Female,Ussd,Above 35,GRP_kgvhdde,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_96AB5O,FAR_kqbfbvu,2024-01-04,Female,Manual,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['How To Succeed In Breeding'], ['Poultry Management Practices'], ['Yara Maziwa Pro'], ['Microp+ Planting']]"
ID_JHYCQ7,FAR_xlkylba,2024-01-04,Female,Manual,Above 35,GRP_zecxjfz,0,CNT_mvqqmw,SUB_nrjsgty,WRD_gwikueno,0,0,0,1,['TRA_kkzpfdtu'],"[['Poultry Feeding'], ['Yara Maziwa Pro'], ['Poultry Management Practices'], ['How To Succeed In Breeding']]"
ID_Z3I06Z,FAR_ywvsfdh,2024-01-04,Female,Manual,Above 35,GRP_vngvqfl,1,CNT_mggvna,SUB_sxusspx,WRD_qeiynxtw,0,0,0,0,['TRA_hyodnntj'],"[['Dairy Housing', 'Poultry Housing', 'Record Keeping In Dairy']]"
ID_060CVG,FAR_svivwtj,2024-01-04,Female,Manual,Above 35,GRP_jupbedk,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],[['How To Succeed In Breeding']]
ID_DL42W6,FAR_ssgncxc,2024-01-04,Female,Manual,Above 35,GRP_ldznymr,0,CNT_vvuukv,SUB_dhaaasn,WRD_emtehozd,0,0,0,1,['TRA_gertumxc'],"[['Poultry Management Practices'], ['Yara Maziwa Pro'], ['Microp+ Planting']]"
